,price,funding,cost,traded,hours_held,long_pnl,short_pnl,total,t24_med
ONGUSDT,5.477169067033539,7.208377062063479,1.5402539555485375,2298.8865008187126,780.0,-21.562759155475547,27.039928222509086,11.14529217354848,3151257.275390625
MOCAUSDT,11.283017007668684,0.7217122305978796,0.7667691342602909,1144.4315436720758,156.0,-5.423991035149958,16.707008042818657,11.237960104006273,2541789.361328125
NUUSDT,11.673034616145301,0.014854960824227957,0.20664241484476087,308.4215146936729,60.0,11.673034616145301,0.0,11.481247162124768,22186594.90625
ESPUSDT,11.846766316241188,0.021479604175910577,0.36832678569352134,549.7414711843602,48.0,0.58874889963252,11.258017416608665,11.499919134723578,4791163.5
NFPUSDT,-45.8424983373337,58.83909206913717,1.1473810600509204,1712.5090448521203,348.0,-12.791743768981037,-33.05075456835253,11.849212671752552,6564268.1875
TUTUSDT,14.4463536688087,-0.3011693706243479,2.07802261578245,3101.5262922126117,827.0,10.384492049414481,4.061861619394209,12.0671616824019,5082128.37109375
ATUSDT,17.654653106934866,-5.100689427315836,0.38717810319949003,577.8777659693881,300.0,0.22808513321920135,17.426567973715667,12.16678557641954,3877644.85546875
XTZUSDT,9.992004236524574,15.157840769676868,12.953926962646575,19334.219347233713,6528.0,72.35522192428817,-62.36321768776255,12.195918043554867,21148055.53125
ARBUSDT,20.370039093708087,0.6810001232901041,8.850523616504969,13209.73674105219,4428.0,-20.392233990600673,40.762273084308816,12.200515600493222,122807309.75
SNDKUSDT,15.07680520832968,-1.0489219779648662,1.0974841460509557,1638.036038882024,1452.0,27.836439532464585,-12.759634324134861,12.930399084313859,354504908.625
MITOUSDT,13.990501490091368,0.2252263647477458,1.2593907625906262,1879.6877053591436,144.0,0.0,13.990501490091368,12.956337092248488,2474869.421875
MANTRAUSDT,14.26513391464039,-0.73109314910257,0.30367450628463855,453.2455317681172,24.0,0.0,14.26513391464039,13.230366259253183,3682865.03125
ERAUSDT,17.379275518138506,-3.309305282424684,0.3182303885782097,474.9707292212085,48.0,0.0,17.379275518138506,13.751739847135612,3375654.2509765625
AGIXUSDT,18.223390502384373,-0.5097284745689278,3.8476550777164875,5742.768772711173,3780.0,-3.793439344507607,22.016829846891994,13.866006950098958,45298690.34375
