label,sharpe,cagr,mdd,worst_day,turnover,n_stops,y2022,y2023,y2024,y2025,y2026
R5 J4 capY0.5%+stopS25 w8=1.5 band0.4,1.056174817984681,0.1259812129530975,-0.17010686686815524,-0.04336018336941827,242.1018189838711,2450,1.1913094110955191,1.0060975031887418,0.5939336174829533,2.4789310503858477,-0.32421725901139914
R5 J4 capY0.5%+stopS25 w8=1.5 age120,0.9420885958147345,0.11168097575847691,-0.1586489294355472,-0.03446240733685568,237.16203054585296,2368,1.9574288037353813,0.629290580813525,0.8877952332615417,1.4315412000659629,-0.5057082575696401
R5 J4 capY0.5%+stopS25 w8=1.5 q8=0.35,1.0840703732257706,0.1317402354163193,-0.14988812524024364,-0.04182189470148712,242.9090764330706,2261,1.40287729188599,0.4002748735097191,1.0674425549026467,1.8931885437441056,0.6364649640623601
R5 J4 capY0.5%+stopS25 w8=1.5 smooth0.4,0.9989499545853788,0.11861094749531675,-0.16264469954381167,-0.03703779173416977,277.34212704752815,2163,1.4494983549091103,0.6075234219569015,0.5782579123363585,1.5638615357885188,0.7865561283148442
R5 J4 capY0.5%+stopS25 w8=1.5 smooth0.6,1.0419963539354749,0.12482667500746314,-0.17603936077560212,-0.03714443808729906,208.77633255325708,2321,1.9196631959894492,0.29782723249508614,0.24605757786308108,1.7090917112536377,1.0619933073562702
R5 J4 capY0.5%+stopS25 w8=2.0 base,1.0494711140623678,0.12548069046258759,-0.13250751142001294,-0.03319756178006317,266.23671078975735,2297,1.5730814709819063,0.6050562962313076,0.6272049794131653,2.1092248160224063,0.04057558622598911
R5 J4 capY0.5%+stopS25 w8=2.0 band0.2,0.8996012973332544,0.10773855305795199,-0.198994486695384,-0.034001235660217954,269.2613769639803,2079,1.4966699291429768,0.5220616717538548,0.5338463791651088,1.5257707361250001,0.3508802251199945
R5 J4 capY0.5%+stopS25 w8=2.0 band0.4,0.9700419649350925,0.11177517116788671,-0.1471080104071789,-0.03414117339082523,254.39275474032118,2294,1.4929970865003972,0.9384970880176008,0.9671496036453245,1.5171248927378405,-0.4199542111597184
R5 J4 capY0.5%+stopS25 w8=2.0 age120,0.8718004827921741,0.10138663827543115,-0.17612255779909824,-0.03546609913315368,260.1202265122774,2335,1.7151751805250952,0.7461164344874794,1.084168849117676,1.4185817866863413,-0.9902411391900592
R5 J4 capY0.5%+stopS25 w8=2.0 q8=0.35,0.7336546244844887,0.08330395665961987,-0.21495838595441719,-0.04290114959407898,274.61399550351223,2424,1.595678558036948,0.2100629977250647,0.49000643070301875,2.329570662897991,-1.4635394252169556
R5 J4 capY0.5%+stopS25 w8=2.0 smooth0.4,0.8708925349747939,0.10092111255151814,-0.18391352357990198,-0.040351698025128835,306.9792729979707,2193,1.5208949577773514,0.7047296080937966,0.6112876691664488,1.6702843936907923,-0.36989053377899606
R5 J4 capY0.5%+stopS25 w8=2.0 smooth0.6,0.92679033067236,0.11050353361557774,-0.12929747473556974,-0.04935263088529329,221.4531735091986,2283,1.6045040105810349,0.2731374036562802,1.0098484706413158,1.9939899895924016,-0.373377642915645
REF J0 none w8=2.0 smooth0.4,0.9800268019411531,0.13024416901195046,-0.1820254651482377,-0.05400304557226365,266.37250442139117,0,3.0836854398409903,1.1972161117650049,1.1439978151505985,-0.0072579510747220926,-0.3340496095113033
